sku,supplier,brand,category_slug,source_document,retail_price_tnd,active,media_status,copy_status,activation_note
10-0123,Pharmatec,Sterilance,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
10-0124,Pharmatec,Sterilance,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
18-3106,Pharmatec,Sterilance,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
18-3108,Pharmatec,Sterilance,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
18-3204,Pharmatec,Sterilance,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
05-063018,Pharmatec,Bionime,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
01-0130-100,Pharmatec,Bionime,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
01-0130-50,Pharmatec,Bionime,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
U031-051-CBN03B,Pharmatec,Mission,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
U031-101-CBN03B,Pharmatec,Mission,soins-consommables,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
3200924,Pharmatec,Clickfine,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
3200925,Pharmatec,Clickfine,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
3200926,Pharmatec,Clickfine,diabete-surveillance-glycemique,LISTE DES PRIX PHARMATEC_ (2).pdf,,false,missing,source_only,Awaiting validated BA Medical Store retail price and approved product media/copy
